,collectionName,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,total_volume,total_sales,total_supply,num_owners,average_price,market_cap,floor_price
21,lucha_libre_knockout,0.015,0.0,1.0,0.015,0.015,-0.9295774647887324,1.0,0.015,351.19247326675793,6826.0,10000.0,3141.0,0.05144923429047142,150.0,0.0
22,animetas,1.4839,1.3258620689655176,11.0,0.1349,3.9938999999999996,-0.16811081024786514,34.0,0.11746764705882352,10941.156622904766,19697.0,10101.0,4060.0,0.5554732508963175,1186.5407029411763,0.0
23,divine_zodiac,0.0,0.0,0.0,0.0,0.17989999999999998,2.827659574468084,13.0,0.013838461538461537,1083.6617534000281,10999.0,9999.0,3528.0,0.09852366155105266,138.3707769230769,0.0
24,unitedpunksunion,0.0,-1.0,0.0,0.0,0.046,0.0,3.0,0.015333333333333332,35.32444782646245,557.0,3628.0,1203.0,0.06341911638503134,55.629333333333335,0.0
25,srsc,0.0,-1.0,0.0,0.0,0.12990000000000002,-0.3872641509433962,10.0,0.012990000000000002,439.7290540347756,5775.0,8888.0,2363.0,0.07614355914022088,115.45512000000001,0.0
26,misfit_university_official,0.0,-1.0,0.0,0.0,0.0098,0.0,19.0,0.000515789473684211,341.02155131553263,6138.0,10000.0,2539.0,0.05555906668548919,5.157894736842105,0.0
27,dystopunks,0.0,0.0,0.0,0.0,1.3050000000000002,-0.7327900405422008,4.0,0.32625000000000004,6126.748885786449,3263.0,2077.0,675.0,1.8776429315925374,677.62125,0.0
28,bored_ape_kennel_club,12.67,-0.7849633911629628,2.0,6.335,483.46409999999986,-0.34435075733293846,66.0,7.325213636363634,98965.66947217027,21526.0,9602.0,5522.0,4.597494633102772,70336.70133636362,0.0
29,boredapeyachtclub,460.29,-0.7187179173796138,6.0,76.715,5738.208000101099,-0.16589707178967014,57.0,100.67031579124735,583045.1990519493,26271.0,9999.0,6264.0,22.193490885461127,1006602.4875966823,0.0
30,hype_bears_club_official_,0.8526999999999999,0.16808219178082182,10.0,0.08526999999999998,3.371800000000001,-0.35107775210452413,41.0,0.08223902439024393,15081.597122812787,17095.0,9999.0,3637.0,0.882222703879075,822.308004878049,0.0
31,kaiju_kingz,48.658,10.34192676161395,30.0,1.6219333333333334,204.8748171124463,-0.06363027216929007,99.0,2.069442597095417,28625.815313634783,9657.0,6536.0,2776.0,2.9642554948363657,13525.876814615645,0.0
32,buttheads_real,0.0,0.0,0.0,0.0,0.011,-0.9199417758369723,2.0,0.0055,152.776636726062,4635.0,8888.0,2770.0,0.032961518171750165,48.88399999999999,0.0
33,loopy_donuts,0.0179,1.2374999999999998,2.0,0.00895,0.2589,-0.26636440918107107,24.0,0.0107875,1525.414920370779,11949.0,10000.0,3907.0,0.12766046701571504,107.87500000000001,0.0
34,cyberkongz_vx,10.078000000000001,0.7289414993995542,13.0,0.7752307692307693,41.969899999999996,-0.43932221541584676,54.0,0.7772203703703703,32774.5500593207,21110.0,14826.0,2768.0,1.5525604007257556,11523.06921111111,0.0
